Singular,Plural,Gloss,Sing-Pattern,Plur-Pattern,Plural-type,suffix,prefix
kliyyan,kliyyana,client,CCVCCVC,CCVCCVCV,broken,,
buʕd,ʔabʕad,dimension,CVCC,CVCCVC,broken,,
Dawr,ʔaDwar,role,CVCC,CVCCVC,broken,,
film,ʔaflam,film,CVCC,CVCCVC,broken,,
ħaʒm,ʔaħʒam,volume,CVCC,CVCCVC,broken,,
ħizb,ʔaħzab,party,CVCC,CVCCVC,broken,,
ħukm,ʔaħkam,sentence,CVCC,CVCCVC,broken,,
qism,ʔaqsam,class,CVCC,CVCCVC,broken,,
raqm,ʔarqam,figure,CVCC,CVCCVC,broken,,
sahm,ʔashum,shares,CVCC,CVCCVC,broken,,
ʃiʕr,ʔaʃʕar,poetry,CVCC,CVCCVC,broken,,
ʒins,ʔaʒnas,sex,CVCC,CVCCVC,broken,,
ʒism,ʔaʒsam,body,CVCC,CVCCVC,broken,,
ʕodr,ʔaʕdar,excuse,CVCC,CVCCVC,broken,,
ʕoDw,ʔaʕDaʔ,member,CVCC,CVCCVC,broken,,
ʕumq,ʔaʕmaq,depth,CVCC,CVCCVC,broken,,
fikra,ʔafkar,idea,CVCCV,CVCCVC,broken,,
baTal,ʔabTal,hero,CVCVC,CVCCVC,broken,,
DabiT,DubbaT,officer,CVCVC,CVCCVC,broken,,
hadaf,ʔahdaf,goal,CVCVC,CVCCVC,broken,,
ħakam,ħukkam,referee,CVCVC,CVCCVC,broken,,
laqab,ʔalqab,title,CVCVC,CVCCVC,broken,,
marad,ʔamrad,disease,CVCVC,CVCCVC,broken,,
qamar,ʔaqmar,moon,CVCVC,CVCCVC,broken,,
qariʔ,qurraʔ,reader,CVCVC,CVCCVC,broken,,
ʁaraD,ʔaʁraD,aim,CVCVC,CVCCVC,broken,,
sabab,ʔasbab,reason,CVCVC,CVCCVC,broken,,
saʔiħ,suyyaħ,tourist,CVCVC,CVCCVC,broken,,
xaTar,ʔaxTar,danger,CVCVC,CVCCVC,broken,,
xaTaʔ,ʔaxTaʔ,error,CVCVC,CVCCVC,broken,,
ʒasad,ʔaʒsad,body,CVCVC,CVCCVC,broken,,
ʔax,ʔixwan,brother,CVC,CVCCVC,broken,,
qayəd,quyyad,major,CVCəC,CVCCVC,broken,,
katəb,kuttab,writer,CVCVC,CVCCVC,broken,,
zbəl,ʔazbal,waste,CCəC,CVCCVC,broken,,
fərD,ʔafrad,individual,CəCC,CVCCVC,broken,,
mərD,ʔamraD,disease,CəCC,CVCCVC,broken,,
ʃəxS,ʔaʃxaS,person,CəCC,CVCCVC,broken,,
wəSf,ʔawSaf,description,CəCC,CVCCVC,broken,,
din,ʔadyan,religion,CVC,CVCCVC,broken,,
nuʕ,ʔanwaʕ,type,CVC,CVCCVC,broken,,
ʒil,ʔaʒyal,generation,CVC,CVCCVC,broken,,
ħala,ʔaħwal,status,CVCV,CVCCVC,broken,,
mital,ʔamtila,example,CVCVC,CVCCVCV,broken,a,
niDam,ʔanDima,system,CVCVC,CVCCVCV,broken,a,
taman,ʔatmina,price,CVCVC,CVCCVCV,broken,a,
ʒawab,ʔaʒwiba,answer,CVCVC,CVCCVCV,broken,a,
dmaʁ,ʔadmiʁa,brain,CCVC,CVCCVCV,broken,a,
slaħ,ʔasliħa,weapon,CCVC,CVCCVCV,broken,a,
siyyəd,sada,gentleman,CVCCəC,CVCV,broken,a,
faSl,fuSul,chapter,CVCC,CVCVC,broken,,
kasr,kosor,fraction,CVCC,CVCVC,broken,,
raSm,roSom,drawing,CVCC,CVCVC,broken,,
raʔy,ʔaraʔ,opinion,CVCC,CVCVC,broken,,
wafd,wufud,delegation,CVCC,CVCVC,broken,,
ʕilm,ʕulum,science,CVCC,CVCVC,broken,,
forSa,foraS,opportunity,CVCCV,CVCVC,broken,,
ħiSSa,ħiSaS,session,CVCCV,CVCVC,broken,,
kutla,kutal,mass,CVCCV,CVCVC,broken,,
luʕba,luʕab,game,CVCCV,CVCVC,broken,,
minħa,minaħ,scholarship,CVCCV,CVCVC,broken,,
nusxa,nusax,copy,CVCCV,CVCVC,broken,,
qiSSa,qiSaS,story,CVCCV,CVCVC,broken,,
roxSa,roxaS,licence,CVCCV,CVCVC,broken,,
SolTa,SolaT,authority,CVCCV,CVCVC,broken,,
xoTTa,xoTaT,plan,CVCCV,CVCVC,broken,,
ʒumla,ʒumal,phrase,CVCCV,CVCVC,broken,,
ʕoTla,ʕoTal,holiday,CVCCV,CVCVC,broken,,
ʔumma,ʔumam,nation,CVCCV,CVCVC,broken,,
malik,muluk,king,CVCVC,CVCVC,broken,,
ʔab,ʔabaʔ,father,CVC,CVCVC,broken,,
Tariqa,Turuq,method,CVCVCV,CVCVC,broken,,
ʒazira,ʒuzur,island,CVCVCV,CVCVC,broken,,
nsər,nusur,eagle,CCəC,CVCVC,broken,,
bəħt,buħut,research,CəCC,CVCVC,broken,,
Dərf,Duruf,circumstance,CəCC,CVCVC,broken,,
DərS,DuruS,course,CəCC,CVCVC,broken,,
DəʁT,DoʁoT,pressure,CəCC,CVCVC,broken,,
fəhd,fuhud,leopard,CəCC,CVCVC,broken,,
